Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,sojournTimeU1_vec:vector_Stima_Minimo_05perc,sojournTimeU1_vec:vector_Stima_Massimo_95perc,sojournTimeU2_vec:vector_Stima_Minimo_05perc,sojournTimeU2_vec:vector_Stima_Massimo_95perc
Config1,3.0,3.0,4.0,0.6,0.8,9.329227885781895,39213.99310205805,36326.29079017759,66733.59096080372
Config1,3.0,3.0,4.0,0.6,0.9,9.18332692888029,51894.77668504565,36174.11620324192,65699.67054319927
Config1,3.0,3.0,4.0,0.8,0.6,189.04288742737214,1958.4789590255575,51399.11074301753,67132.09204268681
Config1,3.0,3.0,4.0,0.8,0.8,2780.468688544013,46168.87311549534,,
Config1,3.0,3.0,4.0,0.8,0.9,2793.209693090521,53315.323574434384,,
Config1,3.0,3.0,5.0,0.4,0.6,2.5113079034489636,55.664851403800924,3822.7111850116257,24125.898218911232
Config1,3.0,3.0,5.0,0.4,0.8,4.390746530853388,1594.5080415912003,22411.15606153294,59342.15510787016
Config1,3.0,3.0,5.0,0.4,0.9,4.717821299070443,45156.52801466061,24488.437479055265,61634.28857857259
Config1,3.0,3.0,5.0,0.6,0.6,2.7252900719238835,72.85866838527431,3854.6577974590227,24482.82920467757
Config1,3.0,3.0,5.0,0.6,0.8,5.0488963888469005,31366.42584845824,26368.649659537194,61876.90432445499
Config1,3.0,3.0,5.0,0.6,0.9,5.314287350958554,50452.259378835355,26830.475953734924,62496.031108740186
Config1,3.0,3.0,5.0,0.8,0.6,3.251355108213702,124.45652655909176,4288.269669660921,25690.166823511692
Config1,3.0,3.0,5.0,0.8,0.8,50.69042165503922,40529.50872238969,38116.03926332628,61636.729981236975
Config1,3.0,3.0,5.0,0.8,0.9,64.10492442244464,51727.66380816591,41672.98411642225,64207.528380596916
Config1,3.0,3.0,6.0,0.4,0.6,2.3454124133190075,50.906670747200785,13.546879520466089,932.916356080485
Config1,3.0,3.0,6.0,0.4,0.8,3.5904592168595446,355.8830301398314,14554.90455438435,53900.81571685687
Config1,3.0,3.0,6.0,0.4,0.9,4.69323636718265,41186.399641126554,21475.475620188463,59306.47606349025
Config1,3.0,3.0,6.0,0.6,0.6,2.314236638323422,61.70742422136586,4.313614270693642,490.7205348683544
Config1,3.0,3.0,6.0,0.6,0.8,4.7254041208303095,20617.112612478373,19953.071156995225,57034.6179727202
Config1,3.0,3.0,6.0,0.6,0.9,4.725279243331062,48200.23447588119,22055.942293959317,59810.68171601664
Config1,3.0,3.0,6.0,0.8,0.6,2.2573701578576704,80.37331919735632,3.432852065641666,393.01009234977704
Config1,3.0,3.0,6.0,0.8,0.8,5.9263770628365355,35712.968526600635,21117.749471547115,59121.72031269675
Config1,3.0,3.0,6.0,0.8,0.9,5.844740440805636,50840.25233596167,23326.471087611917,58448.20740859377
Config1,3.0,4.0,4.0,0.4,0.6,2.6022147711156784,63.04823828460053,10549.09621656474,43394.36020012313
