Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,sojournTimeU1_vec:vector_Stima_Minimo_05perc,sojournTimeU1_vec:vector_Stima_Massimo_95perc,sojournTimeU2_vec:vector_Stima_Minimo_05perc,sojournTimeU2_vec:vector_Stima_Massimo_95perc
Config1,2.4,3.0,6.0,0.4,0.6,2.31217186848065,43.77972506556611,7.391376897602248,603.9378421181839
Config1,2.4,3.0,6.0,0.4,0.8,3.568763912727185,180.56852124593007,14338.47928679318,53644.595297895255
Config1,2.4,3.0,6.0,0.4,0.9,17.783417514507626,33123.05184291993,33665.841038404986,62889.75860560221
Config1,2.4,3.0,6.0,0.6,0.6,2.287954854097825,49.99957898875164,4.273076525024242,458.18011578551693
Config1,2.4,3.0,6.0,0.6,0.8,113.4503342143689,2678.6357628518845,44249.888229652366,56586.3840037392
Config1,2.4,3.0,6.0,0.6,0.9,1683.3682299654301,45299.6880935066,,
Config1,2.4,3.0,6.0,0.8,0.6,2.24889846011297,64.59330766912593,3.14757656622998,356.15178934055723
Config1,2.4,3.0,6.0,0.8,0.8,2744.5903537450067,29492.716141798173,,
Config1,2.4,3.0,6.0,0.8,0.9,3963.501071974503,49621.15071361185,,
Config1,2.4,4.0,4.0,0.4,0.6,2.5800453097650524,51.23202306927889,10234.870246905268,42875.401299804085
Config1,2.4,4.0,4.0,0.4,0.8,98.563138952697,2390.2155863,44962.14349743247,62284.38106906653
Config1,2.4,4.0,4.0,0.4,0.9,1580.7323746542966,44837.877876542756,,
Config1,2.4,4.0,4.0,0.6,0.6,3.04269120873288,80.21150111329769,14859.903696890764,48922.44064134541
Config1,2.4,4.0,4.0,0.6,0.8,3887.2783166989,35215.23116001451,,
Config1,2.4,4.0,4.0,0.6,0.9,5033.503857590118,51050.39588759049,,
Config1,2.4,4.0,4.0,0.8,0.6,130.66906039196667,1615.986497825715,40950.9169240245,53799.318430051
Config1,2.4,4.0,4.0,0.8,0.8,6845.479126779332,44462.37951424338,,
Config1,2.4,4.0,4.0,0.8,0.9,7760.830012760305,53595.03551257241,,
Config1,2.4,4.0,5.0,0.4,0.6,2.476827866088755,46.55607471823798,3535.0220455102817,23016.615604807383
Config1,2.4,4.0,5.0,0.4,0.8,4.23335780432513,282.2248567732553,21944.466302187873,58117.54626793467
Config1,2.4,4.0,5.0,0.4,0.9,121.61946135607988,40226.80658777078,45860.891008675295,57170.6559803598
Config1,2.4,4.0,5.0,0.6,0.6,2.697826850649905,57.77537563823804,3590.0492599059835,22754.349670867457
Config1,2.4,4.0,5.0,0.6,0.8,1677.6335981186355,21853.314224724214,,
Config1,2.4,4.0,5.0,0.6,0.9,3059.0065716438103,48592.90364950585,,
Config1,2.4,4.0,5.0,0.8,0.6,3.2709949722464997,95.90562794188446,3892.258966014588,24527.245896485125
Config1,2.4,4.0,5.0,0.8,0.8,4570.900369872761,38666.41370032037,,
Config1,2.4,4.0,5.0,0.8,0.9,5727.71865825942,52126.8536068527,,
Config1,2.4,4.0,6.0,0.4,0.6,2.32007527578771,43.679687551207486,8.495227237519064,646.9661444637643
Config1,2.4,4.0,6.0,0.4,0.8,3.5036073840829323,175.31567933088138,14058.242801766362,53180.05390294929
Config1,2.4,4.0,6.0,0.4,0.9,18.62100194806903,33357.59763792363,36387.6456887756,64357.55312588062
Config1,2.4,4.0,6.0,0.6,0.6,2.2692848824748926,50.91202889536235,4.068504682079626,417.3325780962603
Config1,2.4,4.0,6.0,0.6,0.8,135.30246569263147,2905.800150049506,43988.19242772131,55682.03155001143
Config1,2.4,4.0,6.0,0.6,0.9,1579.31670044257,44609.30354310713,,
Config1,2.4,4.0,6.0,0.8,0.6,2.204129316258195,62.87452535951384,3.0867317803461605,374.09548653444216
Config1,2.4,4.0,6.0,0.8,0.8,2771.074961728811,29536.46982684153,,
Config1,2.4,4.0,6.0,0.8,0.9,4047.183290316666,49540.26259894045,,
Config1,3.0,2.0,4.0,0.4,0.6,2.579641498340305,61.535012053210664,10187.224696771711,42377.10980575593
Config1,3.0,2.0,4.0,0.4,0.8,4.563673839872637,20182.66292363722,27453.566263866895,61636.531998962164
Config1,3.0,2.0,4.0,0.4,0.9,4.601895533534007,47642.79978346331,27976.303887356036,60422.352189808655
Config1,3.0,2.0,4.0,0.6,0.6,3.052111641398905,102.28614136348891,14643.242088975143,48325.96522456491
Config1,3.0,2.0,4.0,0.6,0.8,8.749143216840249,38425.486303099715,34635.91158133889,64139.78127003678
Config1,3.0,2.0,4.0,0.6,0.9,8.627415958216051,50746.01956114134,36219.94777380246,64020.361659957365
Config1,3.0,2.0,4.0,0.8,0.6,131.4521989255189,1564.9089866236104,41575.16282902104,55481.569272002474
Config1,3.0,2.0,4.0,0.8,0.8,2595.335241207723,45505.098514293495,,
Config1,3.0,2.0,4.0,0.8,0.9,2647.559302398558,52539.49555960672,,
Config1,3.0,2.0,5.0,0.4,0.6,2.4757442904615603,54.9026802025198,3672.4635201143246,23596.747408510655
Config1,3.0,2.0,5.0,0.4,0.8,4.245025452395418,1081.3392496024044,21529.27350213521,58935.56172650113
Config1,3.0,2.0,5.0,0.4,0.9,4.505463932297553,44590.194726884045,23865.504171868783,60935.661025116264
Config1,3.0,2.0,5.0,0.6,0.6,2.68289862224294,71.7766618642671,3715.5879593001882,23745.33357065775
Config1,3.0,2.0,5.0,0.6,0.8,4.98928566268456,30953.628094542662,25161.014554580255,60180.11899666449
Config1,3.0,2.0,5.0,0.6,0.9,5.023853785116152,50024.72372174741,26187.630414553314,61455.94085051936
Config1,3.0,2.0,5.0,0.8,0.6,3.2081705483653273,117.48393683627565,3496.3934515018345,22916.957213408576
Config1,3.0,2.0,5.0,0.8,0.8,25.084325087042473,40033.27551636044,38161.11283799895,59815.22814145623
Config1,3.0,2.0,5.0,0.8,0.9,34.57712966467798,51156.50679352864,37894.59706029832,56813.245819476244
Config1,3.0,2.0,6.0,0.4,0.6,2.312043641738813,50.698025343649114,8.587924320955576,581.3265679614974
Config1,3.0,2.0,6.0,0.4,0.8,3.546283712438985,289.51939038624363,14110.718749000633,53652.261756146196
Config1,3.0,2.0,6.0,0.4,0.9,4.607492553512342,40900.72331634963,20946.490936692426,58839.69558369658
Config1,3.0,2.0,6.0,0.6,0.6,2.2797578605286524,59.683247050169385,3.987940474896475,383.46342766621217
Config1,3.0,2.0,6.0,0.6,0.8,4.61629445152548,19410.508853828087,19985.00542191276,56521.97943887174
Config1,3.0,2.0,6.0,0.6,0.9,4.668889094395175,48093.005606667786,20682.689421990504,58019.21511711681
Config1,3.0,2.0,6.0,0.8,0.6,2.24552138078529,79.44841252213772,3.2023159900374374,361.40525428179916
Config1,3.0,2.0,6.0,0.8,0.8,5.6452468026721245,34746.17303423594,21135.181648985454,56651.04365658788
Config1,3.0,2.0,6.0,0.8,0.9,5.751174274869962,50283.41765250826,22244.48766299929,57857.30566381201
Config1,3.0,3.0,4.0,0.4,0.6,2.5634862796271825,61.18451718331816,10216.28056437744,42389.272443593865
Config1,3.0,3.0,4.0,0.4,0.8,4.543146005546973,20172.959204322695,27325.85019579663,61263.379845291514
Config1,3.0,3.0,4.0,0.4,0.9,4.61137865582783,47399.42299307625,27768.74174601354,61528.489818502145
Config1,3.0,3.0,4.0,0.6,0.6,2.99803205879388,99.9522485720707,14607.382363927438,47382.22185585438
Config1,3.0,3.0,4.0,0.6,0.8,8.734983070443313,38720.0536896975,34846.058800684565,65516.36603210834
Config1,3.0,3.0,4.0,0.6,0.9,8.373163399608723,51229.29519818155,34947.52913796862,64308.91711875389
Config1,3.0,3.0,4.0,0.8,0.6,133.9670384681171,1577.2515648054505,44377.26683386611,56657.52237453987
Config1,3.0,3.0,4.0,0.8,0.8,2656.409253861191,45645.5803323843,,
Config1,3.0,3.0,4.0,0.8,0.9,2668.302058485599,52597.28967519972,,
Config1,3.0,3.0,5.0,0.4,0.6,2.49069382444655,54.48036413608469,3639.139389773485,23396.071113958395
Config1,3.0,3.0,5.0,0.4,0.8,4.260685527357465,1310.187118525607,21853.83746737187,58724.611919253264
Config1,3.0,3.0,5.0,0.4,0.9,4.5531512143350605,44555.00190905457,24022.35667979543,60939.39998546379
Config1,3.0,3.0,5.0,0.6,0.6,2.6937422644202176,71.2474618939623,3579.187398166721,23187.587277393563
Config1,3.0,3.0,5.0,0.6,0.8,4.92505287112177,30720.25658775951,25788.733073715623,60301.081219941414
Config1,3.0,3.0,5.0,0.6,0.9,5.08544897965889,49811.23935655069,26094.646156469935,60939.55659810704
Config1,3.0,3.0,5.0,0.8,0.6,3.207341827009865,118.31952150454454,3726.9736356606168,23644.775750035296
Config1,3.0,3.0,5.0,0.8,0.8,28.86417984315627,40030.3381911259,35838.87949265038,56782.32081427532
Config1,3.0,3.0,5.0,0.8,0.9,30.978028820404223,51034.42074459462,38375.096368494414,61966.742154785825
Config1,3.0,3.0,6.0,0.4,0.6,2.3135326464537522,49.740038432767236,9.34244214898659,705.9067778497907
Config1,3.0,3.0,6.0,0.4,0.8,3.5054444771708146,314.78111696465584,13947.428330181696,53061.94770028968
Config1,3.0,3.0,6.0,0.4,0.9,4.488335514209478,40588.211194755204,21042.02774209169,58268.555576443105
Config1,3.0,3.0,6.0,0.6,0.6,2.2697782284762953,60.43152006574299,3.9025694851855826,400.6473876804938
Config1,3.0,3.0,6.0,0.6,0.8,4.6204688103949225,19457.70860242169,19458.903433905965,55913.84952803845
Config1,3.0,3.0,6.0,0.6,0.9,4.559879841827943,47507.39464524165,21417.57444212766,58609.05925684595
Config1,3.0,3.0,6.0,0.8,0.6,2.2238304250645275,78.22036745184799,3.2685989789188428,351.94636327389696
Config1,3.0,3.0,6.0,0.8,0.8,5.707569950772995,35040.6139886658,20225.176060781323,57747.275135749995
Config1,3.0,3.0,6.0,0.8,0.9,5.553047728147378,50344.95014392711,22222.578684828146,56865.30981928597
Config1,3.0,4.0,4.0,0.4,0.6,2.574754915084765,62.00934740334411,10298.074836339905,42934.920922832236
Config1,3.0,4.0,4.0,0.4,0.8,4.535281300665305,20110.693949917728,27530.627138118645,61214.72219981758
Config1,3.0,4.0,4.0,0.4,0.9,4.686110849917823,47655.67624919068,27998.195112729016,61869.773106280096
Config1,3.0,4.0,4.0,0.6,0.6,3.0274612385772026,102.45679701790957,14495.425028357495,48259.43719855239
Config1,3.0,4.0,4.0,0.6,0.8,8.667930471481956,38380.00226767508,35013.88647823899,63685.96916592865
Config1,3.0,4.0,4.0,0.6,0.9,8.49485298787902,50515.464685720086,35356.681489966795,64937.544579262976
Config1,3.0,4.0,4.0,0.8,0.6,122.82680154225436,1606.7974826128902,45560.13888699913,58236.40996191141
Config1,3.0,4.0,4.0,0.8,0.8,2599.66795560176,45735.20600168708,,
Config1,3.0,4.0,4.0,0.8,0.9,2653.964253606685,52575.552908071855,,
Config1,3.0,4.0,5.0,0.4,0.6,2.47997995289923,54.56868496151969,3551.956260340217,22789.121344241168
Config1,3.0,4.0,5.0,0.4,0.8,4.206998461201232,1232.9913104324282,21592.202702897386,58884.5150921952
Config1,3.0,4.0,5.0,0.4,0.9,4.64430491252007,44166.39221648534,24076.10422208356,61611.258150192465
Config1,3.0,4.0,5.0,0.6,0.6,2.679250722280455,73.13878966894315,3819.311091120299,23881.363415436273
Config1,3.0,4.0,5.0,0.6,0.8,4.976297599420407,30884.99946575544,25139.0632512221,59765.00454945286
Config1,3.0,4.0,5.0,0.6,0.9,5.156757193880295,49267.876067972335,26235.777249862622,61463.11819586738
Config1,3.0,4.0,5.0,0.8,0.6,3.2285783297668473,123.21367546103019,4114.719140277205,25113.189987014666
Config1,3.0,4.0,5.0,0.8,0.8,19.481628623825788,40270.168601144425,36601.89951818825,60854.6438147899
Config1,3.0,4.0,5.0,0.8,0.9,22.30192442820676,50953.0891225242,39334.37168404193,61000.08499734926
Config1,3.0,4.0,6.0,0.4,0.6,2.29661709599886,50.02349917381372,7.632357761019738,571.1242458265394
Config1,3.0,4.0,6.0,0.4,0.8,3.5092395378813976,303.2133016750312,13907.833046735646,54062.165087447174
Config1,3.0,4.0,6.0,0.4,0.9,4.60152787850919,39473.63396876623,20842.41785374899,59206.60127169654
Config1,3.0,4.0,6.0,0.6,0.6,2.313270072545637,60.23054701943086,4.05172277536134,426.79049135755014
Config1,3.0,4.0,6.0,0.6,0.8,4.64434600001849,20593.584941374946,19925.325485939058,56415.93518980059
Config1,3.0,4.0,6.0,0.6,0.9,4.7215416442979,48504.51335689355,20968.996521632664,57793.42252633878
Config1,3.0,4.0,6.0,0.8,0.6,2.2063365140689775,77.32996481997465,3.0120032741581926,346.30454207816456
Config1,3.0,4.0,6.0,0.8,0.8,5.77213892607854,34949.44634322771,20349.522120273185,57346.2260384953
Config1,3.0,4.0,6.0,0.8,0.9,5.82958331021575,50052.00122291329,20723.93096121873,56021.834554680994
Config1,3.5,2.0,4.0,0.4,0.6,2.5895840619640826,72.67795071769459,10185.492459691295,42473.93662391868
Config1,3.5,2.0,4.0,0.4,0.8,3.63640530576219,29761.16355354562,22402.303481032603,59396.8233946914
Config1,3.5,2.0,4.0,0.4,0.9,3.61521690365023,48942.291248011614,23147.021461424214,60487.32922677789
Config1,3.5,2.0,4.0,0.6,0.6,3.037700967969598,142.42573774704417,14512.406024487029,49236.33319609171
Config1,3.5,2.0,4.0,0.6,0.8,3.8935827174367277,42119.78202951803,24577.6379033469,60713.06801599327
Config1,3.5,2.0,4.0,0.6,0.9,3.97187661467147,51438.04612948136,24946.094308935877,59640.86377243971
Config1,3.5,2.0,4.0,0.8,0.6,8.341812395647796,6085.640824480186,30870.250983328377,59197.47586309926
Config1,3.5,2.0,4.0,0.8,0.8,7.822351068495658,45599.56635342061,32525.292704121828,60931.07570865242
Config1,3.5,2.0,4.0,0.8,0.9,7.4866665362223035,51975.67726740173,32838.34524658262,62461.468570804784
Config1,3.5,2.0,5.0,0.4,0.6,2.4831779740245477,60.94836329173366,3643.5977010838737,23422.658260209286
Config1,3.5,2.0,5.0,0.4,0.8,3.561760378699307,13512.766751573397,18511.441253492885,55911.5379594839
Config1,3.5,2.0,5.0,0.4,0.9,3.728505785241148,46563.87470132133,19663.50254243341,58464.563540937685
Config1,3.5,2.0,5.0,0.6,0.6,2.6848773522868496,89.2306759172197,3711.7709874772167,24236.82276775966
Config1,3.5,2.0,5.0,0.6,0.8,3.6266066758951476,36768.49439710326,17856.8102500008,55863.54720545735
Config1,3.5,2.0,5.0,0.6,0.9,3.6460475907408827,49990.356091649,19468.506307445856,59369.868034969244
Config1,3.5,2.0,5.0,0.8,0.6,3.1855906044231777,187.66302069603177,3819.736087941944,24791.678980735578
Config1,3.5,2.0,5.0,0.8,0.8,4.064229557792002,43037.06812600991,16589.622602111875,55180.024581748774
Config1,3.5,2.0,5.0,0.8,0.9,4.17495911313744,51623.781812177374,18438.813588184137,56557.416921052
Config1,3.5,2.0,6.0,0.4,0.6,2.299684005478418,55.98320979424087,7.464385425781565,625.6035237389495
Config1,3.5,2.0,6.0,0.4,0.8,3.4680631004740428,1029.0278732023567,14079.957407742035,53608.275632938756
Config1,3.5,2.0,6.0,0.4,0.9,3.8308165974485804,44322.84832623449,16790.10114342216,57888.36072860619
Config1,3.5,2.0,6.0,0.6,0.6,2.29751334433379,71.48164811784683,4.223419180184525,393.8018488737328
Config1,3.5,2.0,6.0,0.6,0.8,3.5708538924038926,29421.500948779973,13795.878359704922,53473.05671563481
Config1,3.5,2.0,6.0,0.6,0.9,3.6060129798320424,49521.88185857593,15594.844514289332,57324.40449126296
Config1,3.5,2.0,6.0,0.8,0.6,2.2234130136821126,101.94408156560593,3.1546770236207173,343.0343495185337
Config1,3.5,2.0,6.0,0.8,0.8,3.7180521950511674,39628.82765519105,9804.3976502344,49306.04717464759
Config1,3.5,2.0,6.0,0.8,0.9,3.7419732180146754,51120.53891479781,12445.085273880082,55538.400801878925
Config1,3.5,3.0,4.0,0.4,0.6,2.5724870343344852,72.75082477317406,10147.184074405934,42292.48907887928
Config1,3.5,3.0,4.0,0.4,0.8,3.5841423996211352,29706.58691426028,22390.565000150993,59542.23822946921
Config1,3.5,3.0,4.0,0.4,0.9,3.6302285176652576,49207.1415544169,23036.749690381923,61032.91761958159
Config1,3.5,3.0,4.0,0.6,0.6,3.05302276193555,148.53045282065148,14382.010943216033,48248.71613981649
Config1,3.5,3.0,4.0,0.6,0.8,3.902389489438105,41944.28513946571,24749.31385127683,61012.84338783145
Config1,3.5,3.0,4.0,0.6,0.9,4.07783065481836,51343.839548897944,25300.699910002226,61367.55196931023
Config1,3.5,3.0,4.0,0.8,0.6,7.565339363598502,5898.458201536558,32820.53166591374,60566.63585785712
Config1,3.5,3.0,4.0,0.8,0.8,9.722918237401903,45482.80311859695,32061.48543783968,58451.17743628912
Config1,3.5,3.0,4.0,0.8,0.9,7.986466222277367,52422.79186707954,33076.25458976103,57619.403926935964
Config1,3.5,3.0,5.0,0.4,0.6,2.46671115221303,61.736549063124926,3735.4232081451387,23722.86569132555
Config1,3.5,3.0,5.0,0.4,0.8,3.5713163919557274,14603.842496907306,18492.78489354023,56473.263055643954
Config1,3.5,3.0,5.0,0.4,0.9,3.6427320045485674,47157.28886605417,19734.040304327053,58593.98698009454
Config1,3.5,3.0,5.0,0.6,0.6,2.6810025403495525,91.14021080191654,3747.0109263129584,23843.861270181682
Config1,3.5,3.0,5.0,0.6,0.8,3.6252469839964805,36568.95879218231,18331.371780329453,55861.18786341798
Config1,3.5,3.0,5.0,0.6,0.9,3.662648586139048,50758.283294003275,19147.844100283055,58129.5798325856
Config1,3.5,3.0,5.0,0.8,0.6,3.208927154105177,186.03169485454836,4009.951843073822,24938.10959883205
Config1,3.5,3.0,5.0,0.8,0.8,4.1063191935514,42878.26337723569,16997.365044899292,54936.48645231787
Config1,3.5,3.0,5.0,0.8,0.9,4.236736803783716,51814.544523789846,18389.825743910074,56722.92674391111
Config1,3.5,3.0,6.0,0.4,0.6,2.3134736661841626,56.32462462051203,7.2305793425817155,541.9897994247824
Config1,3.5,3.0,6.0,0.4,0.8,3.5534056023874427,1025.3100934669487,14125.435618756877,54067.46624462037
Config1,3.5,3.0,6.0,0.4,0.9,3.812723120236677,44508.797688619714,16807.559030865265,58019.42512662845
