Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,sojournTimeU1_vec:vector_P(T > 2.0s),sojournTimeU1_vec:vector_P(T > 3.0s),sojournTimeU1_vec:vector_P(T > 4.0s),sojournTimeU2_vec:vector_P(T > 2.0s),sojournTimeU2_vec:vector_P(T > 3.0s),sojournTimeU2_vec:vector_P(T > 4.0s)
Config1,3.5,2.0,4.0,0.4,0.6,0.9863925261511773,0.9077058508581693,0.807205200121628,1.0,1.0,1.0
Config1,3.5,2.0,4.0,0.4,0.8,0.9955657592501453,0.9688601912572571,0.9317243401318847,1.0,1.0,1.0
Config1,3.5,2.0,4.0,0.4,0.9,0.9948120085101515,0.9690461225022212,0.9289292666781693,1.0,1.0,1.0
Config1,3.5,2.0,4.0,0.6,0.6,0.9924477449889105,0.9486116425813564,0.8882037379326904,1.0,1.0,1.0
Config1,3.5,2.0,4.0,0.6,0.8,0.9962297623729379,0.9760625387034801,0.9439592910705232,1.0,1.0,1.0
Config1,3.5,2.0,4.0,0.6,0.9,0.9954632383563483,0.9736013009771063,0.9437936361825972,1.0,1.0,1.0
Config1,3.5,2.0,4.0,0.8,0.6,0.998885246958123,0.993241466105184,0.9839896884986784,1.0,1.0,1.0
Config1,3.5,2.0,4.0,0.8,0.8,0.9988593987185737,0.9921438457854387,0.9834456817289637,1.0,1.0,1.0
Config1,3.5,2.0,4.0,0.8,0.9,0.9988442273727209,0.9925900162063686,0.9834007641068009,1.0,1.0,1.0
Config1,3.5,2.0,5.0,0.4,0.6,0.9834586980935768,0.8877372843351482,0.7773006333375988,1.0,1.0,1.0
Config1,3.5,2.0,5.0,0.4,0.8,0.9957226167741833,0.9694927494703499,0.9310958713059998,1.0,1.0,1.0
Config1,3.5,2.0,5.0,0.4,0.9,0.9962695094559746,0.9697202773421766,0.934449056959412,1.0,1.0,1.0
Config1,3.5,2.0,5.0,0.6,0.6,0.9888959717500371,0.9231257573590339,0.8352146607851717,1.0,1.0,1.0
Config1,3.5,2.0,5.0,0.6,0.8,0.9954297082807932,0.9707996919476665,0.9306391563846969,1.0,1.0,1.0
Config1,3.5,2.0,5.0,0.6,0.9,0.9950751377778962,0.9687703553191591,0.9303938587147899,1.0,1.0,1.0
Config1,3.5,2.0,5.0,0.8,0.6,0.9938455100769854,0.9564577389133379,0.9038967101550528,1.0,1.0,1.0
Config1,3.5,2.0,5.0,0.8,0.8,0.996700086730775,0.977811205865753,0.948707353473105,1.0,1.0,1.0
Config1,3.5,2.0,5.0,0.8,0.9,0.9962500550036987,0.9781757464204311,0.9503472180297933,1.0,1.0,1.0
Config1,3.5,2.0,6.0,0.4,0.6,0.9738687107041246,0.8683992596035818,0.7564093003445579,0.9924642761662209,0.9816073032483759,0.9685324545105514
Config1,3.5,2.0,6.0,0.4,0.8,0.9942364656255088,0.964074288557502,0.9264481059664855,1.0,1.0,1.0
Config1,3.5,2.0,6.0,0.4,0.9,0.9950934840177397,0.97233517976365,0.9380096511313725,1.0,1.0,1.0
Config1,3.5,2.0,6.0,0.6,0.6,0.970719847321217,0.8806338165084641,0.7894970907527646,0.9855219164372282,0.9650174877682776,0.941706049817296
Config1,3.5,2.0,6.0,0.6,0.8,0.9954992684149853,0.9693020343928891,0.9291854140332128,1.0,1.0,1.0
Config1,3.5,2.0,6.0,0.6,0.9,0.9951295124414782,0.9677711502016523,0.929104149059839,1.0,1.0,1.0
Config1,3.5,2.0,6.0,0.8,0.6,0.9639868125733827,0.8844852755107714,0.816464076230248,0.975101691197868,0.9481462824907263,0.9130053304179212
Config1,3.5,2.0,6.0,0.8,0.8,0.9963183008355865,0.9724760137834351,0.9363355558128506,1.0,1.0,1.0
Config1,3.5,2.0,6.0,0.8,0.9,0.9961778487873578,0.9714035308104114,0.9361299072832819,1.0,1.0,1.0
Config1,3.5,3.0,4.0,0.4,0.6,0.9873143518463993,0.9031859925139678,0.8046360010790007,1.0,1.0,1.0
Config1,3.5,3.0,4.0,0.4,0.8,0.9954788038075136,0.9679532097732674,0.929302233818251,1.0,1.0,1.0
Config1,3.5,3.0,4.0,0.4,0.9,0.9939625144127551,0.9671994591615571,0.9310417244171731,1.0,1.0,1.0
Config1,3.5,3.0,4.0,0.6,0.6,0.9928948580277813,0.9503512438887793,0.8887515342623421,1.0,1.0,1.0
Config1,3.5,3.0,4.0,0.6,0.8,0.9962549971321563,0.9741035249766231,0.9434548237403981,1.0,1.0,1.0
Config1,3.5,3.0,4.0,0.6,0.9,0.9968582322349208,0.9763522774711387,0.9479260059436461,1.0,1.0,1.0
Config1,3.5,3.0,4.0,0.8,0.6,0.9988546927088677,0.9925561147541191,0.9820627539809528,1.0,1.0,1.0
Config1,3.5,3.0,4.0,0.8,0.8,0.9991965617801662,0.9942366471815774,0.9853730214420887,1.0,1.0,1.0
Config1,3.5,3.0,4.0,0.8,0.9,0.9987106081371201,0.9921187429290447,0.9825301376934513,1.0,1.0,1.0
Config1,3.5,3.0,5.0,0.4,0.6,0.9828465481701869,0.8882296551710557,0.7781778291242544,1.0,1.0,1.0
Config1,3.5,3.0,5.0,0.4,0.8,0.9952242559763933,0.967049932073763,0.929556412048919,1.0,1.0,1.0
Config1,3.5,3.0,5.0,0.4,0.9,0.9955633395721049,0.9662426861553292,0.9294221374749609,1.0,1.0,1.0
Config1,3.5,3.0,5.0,0.6,0.6,0.9889652927932946,0.9208817097952887,0.8340683476106021,1.0,1.0,1.0
Config1,3.5,3.0,5.0,0.6,0.8,0.9955251493958451,0.9699016867292797,0.9335409635579694,1.0,1.0,1.0
Config1,3.5,3.0,5.0,0.6,0.9,0.9945937965609999,0.9689892772432025,0.9313321680763891,1.0,1.0,1.0
Config1,3.5,3.0,5.0,0.8,0.6,0.9940907221953943,0.9583524574914235,0.9070332169153944,1.0,1.0,1.0
Config1,3.5,3.0,5.0,0.8,0.8,0.9968203369661068,0.9782178334622167,0.949996842045377,1.0,1.0,1.0
Config1,3.5,3.0,5.0,0.8,0.9,0.9971577477457766,0.9780012716059074,0.9520892355788905,1.0,1.0,1.0
Config1,3.5,3.0,6.0,0.4,0.6,0.9723472102084589,0.8690173646284444,0.7566825013661072,0.9910613484853276,0.9791319048135626,0.9661968424622527
