Config,m_SS1,m_SS2,m_arrivi,q_prob_U1,p_feedback,sojournTimeU1_stats_mean,sojournTimeU2_stats_mean,SoggiornoMedio_TuttiUtenti
Config2,2.4,2.0,4.0,0.8,0.9,30644.90221526465,,
Config2,2.4,2.0,5.0,0.4,0.6,23.69288771193225,25115.73778792875,10150.019781098006
Config2,2.4,2.0,5.0,0.4,0.8,8543.62059641124,,
Config2,2.4,2.0,5.0,0.4,0.9,22187.86698070875,,
Config2,2.4,2.0,5.0,0.6,0.6,71.4563347526517,39509.562253397205,4034.680898480099
Config2,2.4,2.0,5.0,0.6,0.8,18878.7091749715,,
Config2,2.4,2.0,5.0,0.6,0.9,26329.821530559002,,
Config2,2.4,2.0,5.0,0.8,0.6,8581.47844547464,,
Config2,2.4,2.0,5.0,0.8,0.8,23671.1176786233,,
Config2,2.4,2.0,5.0,0.8,0.9,28812.989346395003,,
Config2,2.4,2.0,6.0,0.4,0.6,21.0537477406262,16027.823473661649,8003.3261853607455
Config2,2.4,2.0,6.0,0.4,0.8,1163.8481786510765,47515.874779993246,1308.5352756697905
Config2,2.4,2.0,6.0,0.4,0.9,19857.18988477905,,
Config2,2.4,2.0,6.0,0.6,0.6,33.107969606187,22698.9977480077,5749.814745884478
Config2,2.4,2.0,6.0,0.6,0.8,14985.1743493742,,
Config2,2.4,2.0,6.0,0.6,0.9,24668.4370395681,,
Config2,2.4,2.0,6.0,0.8,0.6,757.644144892418,52946.885101329106,873.631209978824
Config2,2.4,2.0,6.0,0.8,0.8,20653.1810360657,,
Config2,2.4,2.0,6.0,0.8,0.9,27136.264420003048,,
Config2,2.4,3.0,4.0,0.4,0.6,33.33344487298015,35946.66038689895,8878.366633434887
Config2,2.4,3.0,4.0,0.4,0.8,14866.240929153451,,
Config2,2.4,3.0,4.0,0.4,0.9,24708.9411280243,,
Config2,2.4,3.0,4.0,0.6,0.6,5910.57878134135,,
Config2,2.4,3.0,4.0,0.6,0.8,22564.3874915483,,
Config2,2.4,3.0,4.0,0.6,0.9,28366.547359706798,,
Config2,2.4,3.0,4.0,0.8,0.6,15675.419706925499,,
Config2,2.4,3.0,4.0,0.8,0.8,26643.89615577815,,
Config2,2.4,3.0,4.0,0.8,0.9,30662.62987301025,,
Config2,2.4,3.0,5.0,0.4,0.6,23.65676404306785,25056.52166195655,10090.152942748604
Config2,2.4,3.0,5.0,0.4,0.8,8445.046349808126,,
Config2,2.4,3.0,5.0,0.4,0.9,22233.3431437031,,
Config2,2.4,3.0,5.0,0.6,0.6,67.64130719708149,39584.4968079768,4008.659543111906
Config2,2.4,3.0,5.0,0.6,0.8,18986.099418745,,
Config2,2.4,3.0,5.0,0.6,0.9,26379.424974261354,,
Config2,2.4,3.0,5.0,0.8,0.6,8637.163589007516,,
Config2,2.4,3.0,5.0,0.8,0.8,23687.93023919615,,
Config2,2.4,3.0,5.0,0.8,0.9,28841.337835787202,,
Config2,2.4,3.0,6.0,0.4,0.6,21.0202641954474,15538.35412342305,7735.204866936387
Config2,2.4,3.0,6.0,0.4,0.8,1232.9412836630615,48436.411875412145,1423.721102613527
Config2,2.4,3.0,6.0,0.4,0.9,19832.53744972995,,
Config2,2.4,3.0,6.0,0.6,0.6,32.9863259783232,22638.6348480177,5649.994822790612
Config2,2.4,3.0,6.0,0.6,0.8,15016.313333591801,,
Config2,2.4,3.0,6.0,0.6,0.9,24592.62949239725,,
Config2,2.4,3.0,6.0,0.8,0.6,726.053520238376,50194.862144025734,822.4886200810023
Config2,2.4,3.0,6.0,0.8,0.8,20718.71706656745,,
Config2,2.4,3.0,6.0,0.8,0.9,27102.70559756515,,
Config2,2.4,4.0,4.0,0.4,0.6,32.78495894186005,36030.130612251596,8923.312471307763
Config2,2.4,4.0,4.0,0.4,0.8,14905.7129952527,,
Config2,2.4,4.0,4.0,0.4,0.9,24667.01909764635,,
Config2,2.4,4.0,4.0,0.6,0.6,5852.102374390095,,
Config2,2.4,4.0,4.0,0.6,0.8,22585.316046305197,,
Config2,2.4,4.0,4.0,0.6,0.9,28374.8897943754,,
Config2,2.4,4.0,4.0,0.8,0.6,15709.767656545699,,
Config2,2.4,4.0,4.0,0.8,0.8,26600.23528130145,,
Config2,2.4,4.0,4.0,0.8,0.9,30694.6503453388,,
Config2,2.4,4.0,5.0,0.4,0.6,23.681205667012552,25058.987152896,10050.375209487716
Config2,2.4,4.0,5.0,0.4,0.8,8587.75646125772,,
Config2,2.4,4.0,5.0,0.4,0.9,22215.7574045333,,
Config2,2.4,4.0,5.0,0.6,0.6,69.17185642007699,39851.68518204415,4047.8875548692704
Config2,2.4,4.0,5.0,0.6,0.8,18912.2267299993,,
Config2,2.4,4.0,5.0,0.6,0.9,26364.650198399897,,
Config2,2.4,4.0,5.0,0.8,0.6,8652.675898440055,,
Config2,2.4,4.0,5.0,0.8,0.8,23720.6542582258,,
